Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.10135507583618164,-0.55029296875,1.1915039062500001,10.14453125,10.31494140625,-7.01904296875,36.2548828125
0.2020270824432373,-1.10537109375,0.36367187500000003,11.465234375000001,4.39453125,4.21142578125,28.62548828125
0.30260467529296875,-0.85654296875,0.899609375,10.4220703125,-36.19384765625,44.43359375,28.6865234375
0.4031078815460205,0.5263671875,1.9044921875,9.814355468750001,-12.939453125,-33.99658203125,81.48193359375
0.5036804676055908,1.7561523437500002,3.9333984375,10.25458984375,-1.15966796875,-37.7197265625,67.2607421875
0.612677812576294,1.4690429687500002,3.95732421875,10.01533203125,15.19775390625,-27.4658203125,27.34375
0.7132995128631592,1.7944335937500002,6.373828125,11.6279296875,-2.9296875,10.009765625,-13.48876953125
0.8142063617706299,0.8230468750000001,4.5506835937500005,10.78095703125,-0.8544921875,-2.8076171875,-49.8046875
0.9147515296936035,0.56943359375,1.4786132812500001,11.4078125,1.0986328125,7.50732421875,-61.279296875
1.0154740810394287,0.6555664062500001,1.2154296875000001,10.321582031250001,-3.173828125,17.15087890625,-28.99169921875
1.116396188735962,-0.18183593750000002,0.24404296875,9.80478515625,-21.484375,9.521484375,-14.70947265625
1.2170557975769043,-1.95234375,-0.25361328125000004,9.3310546875,-2.5634765625,-8.60595703125,10.8642578125
1.3181989192962646,0.057421875000000004,1.44990234375,9.718652343750001,-17.578125,-11.1083984375,21.78955078125
1.4187018871307373,1.0144531250000002,2.6940429687500003,10.364648437500001,-5.126953125,8.11767578125,-4.2724609375
1.5195298194885254,2.0480468750000003,-0.0861328125,11.5705078125,2.44140625,19.287109375,-43.3349609375
1.6204023361206055,1.9475585937500002,-1.1580078125000002,12.953417968750001,47.05810546875,0.3662109375,-24.90234375
1.7210967540740967,0.5598632812500001,-1.0623046875000002,12.28828125,13.0615234375,-5.55419921875,-21.240234375
1.8220117092132568,0.49287109375000004,0.64599609375,11.962890625,6.89697265625,-9.6435546875,22.216796875
